file,line,scenario,status,test_outcome,duration_ms,attempts,evidence_scope
additional-clicks.spec.ts,5,US-SP-SKILL-LIFECYCLE-CLICKS edit cancel save and delete only the selected disposable skill,passed,expected,3608,1,exact assertions in test script
additional-clicks.spec.ts,54,US-SP-FILE-CHOOSER-CLICKS navigate child upload exact bytes copy relative path and reject denied reader,passed,expected,3188,1,exact assertions in test script
additional-clicks.spec.ts,89,US-SP-SESS-IMPORT-CLICKS visible JSON chooser imports exact transcript and malformed JSON creates no session,passed,expected,2333,1,exact assertions in test script
additional-clicks.spec.ts,122,US-SP-CHAT-ATTACH-CHOOSER-CLICKS attach opens real chooser and removal leaves draft and disk untouched,passed,expected,1180,1,exact assertions in test script
authentication.spec.ts,2,US-SP-AUTH-001 actual password login rejects invalid input then establishes authenticated session,passed,expected,1148,1,exact assertions in test script
authentication.spec.ts,6,US-SP-AUTH-LOGOUT sign out revokes browser access and redirects to login,passed,expected,1269,1,exact assertions in test script
authentication.spec.ts,9,US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie,passed,expected,106,1,exact assertions in test script
chat-lifecycle.spec.ts,5,US-SP-CHAT-006 queue follow-up waits then produces two persisted ordered turns,passed,expected,8182,1,exact assertions in test script
chat-lifecycle.spec.ts,8,US-SP-CHAT-009 Stop generation cancels in-flight run and accepts a fresh next turn,passed,expected,7612,1,exact assertions in test script
chat-lifecycle.spec.ts,11,US-SP-CHAT-012 hard reload mid-stream restores the same session and finished response once,passed,expected,6945,1,exact assertions in test script
chat-lifecycle.spec.ts,14,US-SP-CHAT-011 persisted unsent draft survives hard reload without creating a turn,passed,expected,1407,1,exact assertions in test script
chat-lifecycle.spec.ts,17,US-SP-CHAT-008 explicit interrupt cancels first response and starts requested next message,passed,expected,6996,1,exact assertions in test script
chat-lifecycle.spec.ts,20,US-SP-CHAT-007 actual steer accepted mid-turn influences next model iteration,passed,expected,6787,1,exact assertions in test script
chat.spec.ts,3,"US-SP-CHAT-001 real composer dispatches through real engine and deterministic provider, persists reload",passed,expected,1608,1,exact assertions in test script
chat.spec.ts,10,US-SP-CHAT-002 modes change through header and survive reload,passed,expected,1145,1,exact assertions in test script
chat.spec.ts,16,US-SP-CHAT-004 Shift Enter inserts newline without sending,passed,expected,824,1,exact assertions in test script
chat.spec.ts,20,US-SP-GROUP-001 selecting named colleague stages participants and persists actual group,passed,expected,1257,1,exact assertions in test script
chat.spec.ts,34,US-SP-CHAT-ROSTER bot roster hides and shows through its real toggle,passed,expected,741,1,exact assertions in test script
chat.spec.ts,30,US-SP-VOICE-001 voice policy denial explains prerequisite without hanging,passed,expected,786,1,exact assertions in test script
composer-content.spec.ts,4,US-SP-CHAT-ATTACH actual text attachments remove one upload exact bytes and persist transcript,passed,expected,1903,1,exact assertions in test script
composer-content.spec.ts,20,US-SP-CHAT-EDIT actual cancel edit resubmit and regenerate preserve one edited user turn after reload,passed,expected,3331,1,exact assertions in test script
composer-content.spec.ts,38,US-SP-CHAT-PROMPTS saved prompt validates empty input saves reloads inserts exact text and deletes,passed,expected,2950,1,exact assertions in test script
deep-workflows.spec.ts,5,US-SP-FILE-DEEP editor save reopen download rename cancel and delete persist on disk,passed,expected,2676,1,exact assertions in test script
deep-workflows.spec.ts,12,US-SP-TERM-DEEP actual terminal executes harmless local command collapses expands restarts closes,passed,expected,1945,1,exact assertions in test script
deep-workflows.spec.ts,24,US-SP-SESS-SPLIT all split counts create real independent frames and exit,passed,expected,7283,1,exact assertions in test script
deep-workflows.spec.ts,27,US-SP-TODO-DEEP real agent todo create update clear renders live and survives session reload,passed,expected,5282,1,exact assertions in test script
deep-workflows.spec.ts,33,US-SP-BOT-DEEP all editable tab fields filter select save and delete lifecycle,passed,expected,2243,1,exact assertions in test script
delegation.spec.ts,2,US-SP-CHAT-017 actual delegate tool spawns two real child agents and renders their completion,passed,expected,1760,1,exact assertions in test script
frontend-extras.spec.ts,2,US-SP-FILE-001 file and folder dialogs write real isolated workspace and support cancel,passed,expected,1889,1,exact assertions in test script
frontend-extras.spec.ts,8,US-SP-PREF-THEMES all built-in theme and font-size buttons apply and reload,passed,expected,2194,1,exact assertions in test script
frontend-extras.spec.ts,14,US-SP-PREF-SKINS every rendered skin button applies its own skin value,passed,expected,5628,1,exact assertions in test script
frontend-extras.spec.ts,18,US-SP-LOG-001 logfile tail severity wrap and refresh controls remain usable,passed,expected,853,1,exact assertions in test script
frontend-extras.spec.ts,21,US-SP-INS-001 all analytics periods request and render their selected window,passed,expected,1136,1,exact assertions in test script
frontend-extras.spec.ts,24,US-SP-UX-ERROR-TOAST error toast retains clickable dismiss control,passed,expected,953,1,exact assertions in test script
governance-administration.spec.ts,10,US-SP-GOV-ADMIN-GROUPS all templates and six grant fields create edit cancel clear and delete with persisted negative checks,passed,expected,8696,1,exact assertions in test script
governance-administration.spec.ts,28,US-SP-GOV-ADMIN-USERS role and group assignment persists cancel preserves policy and assigned group cannot be deleted,passed,expected,2554,1,exact assertions in test script
governance-administration.spec.ts,39,US-SP-GOV-ADMIN-APPROVAL actual denied route becomes admin approval then grants one route while rejection and replay remain bounded,passed,expected,3533,1,exact assertions in test script
governance-administration.spec.ts,59,US-SP-GOV-ADMIN-LEGACY unchanged group save preserves command denials metadata and unexposed grants,passed,expected,1475,1,exact assertions in test script
governance-field-roundtrip.spec.ts,86,US-SP-GOV-006 [field roundtrip] all 14 extra allow and 14 deny controls persist through real save and reload,passed,expected,4581,1,exact assertions in test script
governance-field-roundtrip.spec.ts,112,US-SP-GOV-006 [field removal] clearing all extra grants and denials removes persisted entries,passed,expected,6318,1,exact assertions in test script
governance-field-roundtrip.spec.ts,141,US-SP-POL-032 [legacy subset] unchanged user save preserves unexposed command denials and policy metadata,passed,expected,1572,1,exact assertions in test script
governance-field-roundtrip.spec.ts,170,US-SP-POL-013 [bootstrap affordance] typing a recovery admin identity explains and locks ineffective restrictions,passed,expected,845,1,exact assertions in test script
governance-field-roundtrip.spec.ts,183,US-SP-POL-001 [legacy level-only edit] Keep existing policy retains assigned role access when changing level,passed,expected,1362,1,exact assertions in test script
governance-field-roundtrip.spec.ts,197,US-SP-UX-007 [preview lifecycle] a stale preview for the same reselected user cannot replace its newer policy,passed,expected,1425,1,exact assertions in test script
governance-field-roundtrip.spec.ts,240,US-SP-UX-007 [save lifecycle] a late save cannot discard a newly selected user draft,passed,expected,1434,1,exact assertions in test script
governance-field-roundtrip.spec.ts,273,US-SP-UX-007 [inspector lifecycle] late standalone preview cannot replace a more recently requested user,passed,expected,1349,1,exact assertions in test script
governance-policy.spec.ts,5,US-SP-POL-001 new policy defaults to user whitelist manual and renders at desktop and mobile,passed,expected,1064,1,exact assertions in test script
governance-policy.spec.ts,10,US-SP-POL-RESPONSIVE desktop edits policy prompt and saves accessible last controls after reload,passed,expected,2034,1,exact assertions in test script
governance-policy.spec.ts,10,US-SP-POL-RESPONSIVE laptop edits policy prompt and saves accessible last controls after reload,passed,expected,1954,1,exact assertions in test script
governance-policy.spec.ts,10,US-SP-POL-RESPONSIVE mobile edits policy prompt and saves accessible last controls after reload,passed,expected,2198,1,exact assertions in test script
governance-policy.spec.ts,31,US-SP-POL-VALIDATION automatic without policy prompt rejects before mutation,passed,expected,918,1,exact assertions in test script
governance-policy.spec.ts,36,US-SP-POL-LEGACY editing a legacy user preserves omitted access level and mode,passed,expected,1050,1,exact assertions in test script
governance-policy.spec.ts,40,US-SP-POL-002 whitelist with role but zero direct grant cannot use work APIs,passed,expected,906,1,exact assertions in test script
governance-policy.spec.ts,44,US-SP-POL-004 blacklist elevated automatic policy and narrow denials survive save reload,passed,expected,1754,1,exact assertions in test script
governance-policy.spec.ts,50,US-SP-GOV-PREVIEW real preview button shows chosen user and effective grants,passed,expected,802,1,exact assertions in test script
governance-policy.spec.ts,53,US-SP-AUTH-CSRF cross-origin cookie-auth mutation without CSRF is rejected,passed,expected,874,1,exact assertions in test script
governance-revocation.spec.ts,19,US-SP-POL-REVOKE-WHITELIST direct skill grant permits actual browser read then removal denies retained-session requests,passed,expected,6036,1,exact assertions in test script
