file,line,scenario,status,test_outcome,duration_ms,attempts,evidence_scope
additional-affordances.spec.ts,82,US-SP-AFFORDANCE-FILE-CANCEL Escape discards edited text and exact original bytes survive reopening and reload,passed,expected,2797,1,exact assertions in test script
additional-affordances.spec.ts,122,US-SP-AFFORDANCE-SKILL-LINKS linked markdown and Back work while traversal and live revoked access return no new file content,passed,expected,2068,1,exact assertions in test script
additional-affordances.spec.ts,185,US-SP-AFFORDANCE-HIDDEN-FILES persisted hidden-file toggle reveals permitted system files without bypassing a file denial,passed,expected,2685,1,exact assertions in test script
additional-affordances.spec.ts,245,US-SP-AFFORDANCE-MESSAGE-FORK selected message creates an exact persistent prefix and child continuation leaves the private parent unchanged,passed,expected,3349,1,exact assertions in test script
additional-clicks.spec.ts,5,US-SP-SKILL-LIFECYCLE-CLICKS edit cancel save and delete only the selected disposable skill,passed,expected,1826,1,exact assertions in test script
additional-clicks.spec.ts,54,US-SP-FILE-CHOOSER-CLICKS navigate child upload exact bytes copy relative path and reject denied reader,passed,expected,1447,1,exact assertions in test script
additional-clicks.spec.ts,89,US-SP-SESS-IMPORT-CLICKS visible JSON chooser imports exact transcript and malformed JSON creates no session,passed,expected,1212,1,exact assertions in test script
additional-clicks.spec.ts,122,US-SP-CHAT-ATTACH-CHOOSER-CLICKS attach opens real chooser and removal leaves draft and disk untouched,passed,expected,658,1,exact assertions in test script
authentication.spec.ts,2,US-SP-AUTH-001 actual password login rejects invalid input then establishes authenticated session,passed,expected,594,1,exact assertions in test script
authentication.spec.ts,6,US-SP-AUTH-LOGOUT sign out revokes browser access and redirects to login,passed,expected,833,1,exact assertions in test script
authentication.spec.ts,9,US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie,passed,expected,81,1,exact assertions in test script
chat-interrupt-startup.spec.ts,20,US-SP-CHAT-008 startup interrupt leaves the cached successor able to answer,passed,expected,1348,1,exact assertions in test script
chat-interrupt-startup.spec.ts,42,US-SP-CHAT-009 Stop during cached initialization prevents provider admission and permits a later turn,passed,expected,1966,1,exact assertions in test script
chat-interrupt-startup.spec.ts,71,US-SP-CHAT-008 an aged cancelled worker retains its interrupt until its held reply settles,passed,expected,2862,1,exact assertions in test script
chat-lifecycle.spec.ts,5,US-SP-CHAT-006 queue follow-up waits then produces two persisted ordered turns,passed,expected,6973,1,exact assertions in test script
chat-lifecycle.spec.ts,8,US-SP-CHAT-009 Stop generation cancels in-flight run and accepts a fresh next turn,passed,expected,7123,1,exact assertions in test script
chat-lifecycle.spec.ts,11,US-SP-CHAT-012 hard reload mid-stream restores the same session and finished response once,passed,expected,6751,1,exact assertions in test script
chat-lifecycle.spec.ts,14,US-SP-CHAT-011 persisted unsent draft survives hard reload without creating a turn,passed,expected,1174,1,exact assertions in test script
chat-lifecycle.spec.ts,17,US-SP-CHAT-008 explicit interrupt cancels first response and starts requested next message,passed,expected,6754,1,exact assertions in test script
chat-lifecycle.spec.ts,20,US-SP-CHAT-007 actual steer accepted mid-turn influences next model iteration,passed,expected,6850,1,exact assertions in test script
chat.spec.ts,3,"US-SP-CHAT-001 real composer dispatches through real engine and deterministic provider, persists reload",passed,expected,1375,1,exact assertions in test script
chat.spec.ts,10,US-SP-CHAT-002 modes change through header and survive reload,passed,expected,982,1,exact assertions in test script
chat.spec.ts,16,US-SP-CHAT-004 Shift Enter inserts newline without sending,passed,expected,595,1,exact assertions in test script
chat.spec.ts,20,US-SP-GROUP-001 selecting named colleague stages participants and persists actual group,passed,expected,951,1,exact assertions in test script
chat.spec.ts,34,US-SP-CHAT-ROSTER bot roster hides and shows through its real toggle,passed,expected,435,1,exact assertions in test script
chat.spec.ts,30,US-SP-VOICE-001 voice policy denial explains prerequisite without hanging,passed,expected,638,1,exact assertions in test script
composer-content.spec.ts,4,US-SP-CHAT-ATTACH actual text attachments remove one upload exact bytes and persist transcript,passed,expected,1437,1,exact assertions in test script
composer-content.spec.ts,20,US-SP-CHAT-EDIT actual cancel edit resubmit and regenerate preserve one edited user turn after reload,passed,expected,1782,1,exact assertions in test script
composer-content.spec.ts,38,US-SP-CHAT-PROMPTS saved prompt validates empty input saves reloads inserts exact text and deletes,passed,expected,2337,1,exact assertions in test script
cron-skill-picker-race.spec.ts,5,SUPPLEMENT CRON SKILL PICKER an old blur cannot close a reopened query and a current outside click still closes it,passed,expected,1201,1,exact assertions in test script
deep-workflows.spec.ts,5,US-SP-FILE-DEEP editor save reopen download rename cancel and delete persist on disk,passed,expected,2156,1,exact assertions in test script
deep-workflows.spec.ts,12,US-SP-TERM-DEEP actual terminal executes harmless local command collapses expands restarts closes,passed,expected,1503,1,exact assertions in test script
deep-workflows.spec.ts,24,US-SP-SESS-SPLIT all split counts create real independent frames and exit,passed,expected,4288,1,exact assertions in test script
