story_id,feature_area,persona,user_story,frontend_steps,expected_persisted_result,permission_negative_path,test_requirements,priority,current_status,inventory_basis,source_reference,current_candidate_commit,planned_test_reference,current_execution_evidence,gap_or_blocker
US-SP-AUTH-001,Authentication and identity,registered user,"As a registered user, I want to sign in with valid credentials.",Open login; enter fixture credentials; submit; open Chats; reload.,The same authorized identity persists and only its permitted data is visible.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/authentication.spec.ts:2 | test-kit/tests/e2e/full/authentication.spec.ts:9,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-001 actual password login rejects invalid input then establishes authenticated session; Actual invalid-password error followed by successful password login and HTTP-only authenticated cookie. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID). | PASS subset [20260909-080212-676633000]: US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie; Unsigned separate browser receives 401 from sessions, governance users and memory APIs. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).","Only the listed assertions are evidenced; complete the remaining explicit frontend, persistence and permission requirements in this row."
US-SP-AUTH-002,Authentication and identity,registered user,"As a registered user, I want to recover from invalid credentials.",Enter an incorrect fixture password; submit; then correct it.,The rejected attempt creates no usable authenticated session; correction succeeds without a stuck state.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/authentication.spec.ts:2 | test-kit/tests/e2e/full/authentication.spec.ts:9,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-001 actual password login rejects invalid input then establishes authenticated session; Actual invalid-password error followed by successful password login and HTTP-only authenticated cookie. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID). | PASS subset [20260909-080212-676633000]: US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie; Unsigned separate browser receives 401 from sessions, governance users and memory APIs. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).","Only the listed assertions are evidenced; complete the remaining explicit frontend, persistence and permission requirements in this row."
US-SP-AUTH-003,Authentication and identity,registered user,"As a registered user, I want to sign out cleanly.",Open Settings; activate Sign out; use Back; reload the previous chat URL.,The session is invalidated and protected content is unavailable through history or direct requests.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/authentication.spec.ts:6 | test-kit/tests/e2e/full/authentication.spec.ts:9,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-LOGOUT sign out revokes browser access and redirects to login; Actual login, sign out, and subsequent protected root redirect to login. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID). | PASS subset [20260909-080212-676633000]: US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie; Unsigned separate browser receives 401 from sessions, governance users and memory APIs. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).","Only the listed assertions are evidenced; complete the remaining explicit frontend, persistence and permission requirements in this row."
US-SP-AUTH-004,Authentication and identity,registered user,"As a registered user, I want to handle session expiry.",Open a fixture-owned chat; expire that session through the fixture controller; click a protected action; reauthenticate.,A recoverable authentication state appears and no failed action is reported as successful.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-AUTH-005,Authentication and identity,registered user,"As a registered user, I want to keep separate users isolated.",Use two browser contexts for Alice and Bob; open the same panels; switch profiles in one; reload both.,"Identity, private data and cached catalogs remain scoped to the respective user.","An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/governance-policy.spec.ts:53,PASS subset [20260909-080212-676633000]: US-SP-AUTH-CSRF cross-origin cookie-auth mutation without CSRF is rejected; Cookie-authenticated cross-origin session creation receives 403; this is CSRF coverage only. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).,"Only the listed assertions are evidenced; complete the remaining explicit frontend, persistence and permission requirements in this row."
US-SP-AUTH-006,Authentication and identity,registered user,"As a registered user, I want to open an authorized deep link.",Copy a fixture chat link; open it in a fresh authenticated tab; reload.,The correct permitted conversation/profile restores without changing another session.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-AUTH-007,Authentication and identity,registered user,"As a registered user, I want to refuse an unauthorized deep link.",Open an outsider-owned chat or file URL in Alice's tab.,Protected data is absent; denied/not-found feedback is clear; no private payload is returned.,"An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/authentication.spec.ts:9,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-ANONYMOUS authenticated data APIs reject absent cookie; Unsigned separate browser receives 401 from sessions, governance users and memory APIs. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).","Only the listed assertions are evidenced; complete the remaining explicit frontend, persistence and permission requirements in this row."
US-SP-AUTH-008,Authentication and identity,registered user,"As a registered user, I want to handle unavailable authentication service.",Make the fixture login service unavailable; submit; restore it; retry.,"Failure is visible, submit recovers and no authenticated state is invented.","An unsigned, expired or different-user session cannot access the protected action or disclose its result.",REAL_LOGIN; SIGNED_IDENTITIES; NEGATIVE_SERVER,P0,NOT RUN,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,NOT YET MAPPED TO EXECUTED FRONTEND CASE,NONE: no semantically matching actual frontend assertion found in current isolated run reports.,"LOCALLY MISSING: verify current exposure/contract and implement the stated real-browser workflow, fixture and negative path. Historical provenance alone does not establish current availability."
US-SP-AUTH-009,Authentication and identity,registered user,"As a registered user, I want to register and use a passkey.",Open Settings > System; register a browser virtual-authenticator passkey; sign out; sign in with it.,The credential belongs to the correct fixture account and survives reload.,"Another account cannot list, use or delete it.",VIRTUAL_AUTHENTICATOR; REAL_LOGIN; RELOAD; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/settings-complete.spec.ts:58,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-009 virtual authenticator registers signs in and removes an actual passkey; Virtual CTAP2 authenticator registers, reloads, signs in as expected identity, cancels then confirms passkey removal. Real device not exercised. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).",Virtual CTAP2 register/reload/login proves the browser protocol and identity. Another-account list/use/delete probes and physical device compatibility remain.
US-SP-AUTH-010,Authentication and identity,registered user,"As a registered user, I want to remove a passkey.",Register two fixture passkeys; remove one in Settings; reload; retry that credential.,Only the chosen credential is removed; the remaining one works.,A non-owner cannot remove the credential.,VIRTUAL_AUTHENTICATOR; RELOAD; NEGATIVE_SERVER,P0,PARTIAL,HISTORICAL_SOURCE_DERIVED,static/login.js; static/onboarding.js; static/panels.js,WebUI HEAD 451acb916a33d9267713eaf57aba7f93e462993c; engine HEAD 97fbbecd35984d5e28a3482d60a1165121333fc9. Exact tested file fingerprints: evidence/source-provenance.json. Frozen run 20260909-080212-676633000; commits and content fingerprints are distinct provenance. Any explicitly permitted post-run operator additions are recorded separately as post_run_operator_scripts and are not browser-tested source.,test-kit/tests/e2e/full/settings-complete.spec.ts:58,"PASS subset [20260909-080212-676633000]: US-SP-AUTH-009 virtual authenticator registers signs in and removes an actual passkey; Virtual CTAP2 authenticator registers, reloads, signs in as expected identity, cancels then confirms passkey removal. Real device not exercised. Frozen source: True; current spec: True; all tested source files unchanged: True. Any permitted new operator scripts have separate provenance and no browser certification. Delivered report: evidence/executed-scenarios.csv (match test title and run ID).","Cancel/confirm removal of one virtual credential is covered. Two independent credentials, retained-credential login and revoked-credential retry plus non-owner delete remain."
